,Open,High,Low,Close,Volume,Turnover
07-Mar-2017,     8977.75,     8977.85,     8932.80,     8946.90,      178827506,         8149.28
08-Mar-2017,     8950.70,     8957.05,     8891.95,     8924.30,      183325544,         9489.36
09-Mar-2017,     8914.50,     8945.80,     8899.50,     8927.00,      176810453,         8493.21
10-Mar-2017,     8953.70,     8975.70,     8903.95,     8934.55,      157419999,         7385.28
14-Mar-2017,     9091.65,     9122.75,     9060.50,     9087.00,      278726933,        14087.57
15-Mar-2017,     9086.85,     9106.55,     9075.50,     9084.80,      248033251,         9671.51
16-Mar-2017,     9129.65,     9158.45,     9128.55,     9153.70,      215096446,         9275.05
17-Mar-2017,     9207.80,     9218.40,     9147.60,     9160.05,      295554265,        13226.29
20-Mar-2017,     9166.95,     9167.60,     9116.30,     9126.85,      342395900,         9251.16
21-Mar-2017,     9133.95,     9147.75,     9087.20,     9121.50,      255396073,        10191.60
22-Mar-2017,     9047.20,     9072.90,     9019.30,     9030.45,      239463699,        10065.92
23-Mar-2017,     9048.75,     9099.05,     9048.60,     9086.30,      197705274,         8699.36
24-Mar-2017,     9104.00,     9133.55,     9089.40,     9108.00,      210021581,         8853.03
27-Mar-2017,     9093.45,     9094.85,     9024.65,     9045.20,      209036051,         8921.57
28-Mar-2017,     9081.50,     9110.40,     9079.80,     9100.80,      188985603,         8139.28
29-Mar-2017,     9128.70,     9153.15,     9109.10,     9143.80,      250902906,        11089.43
30-Mar-2017,     9142.60,     9183.15,     9136.35,     9173.75,      333410368,        15585.42
31-Mar-2017,     9158.90,     9191.70,     9152.10,     9173.75,      196771674,        10955.05
03-Apr-2017,     9220.60,     9245.35,     9192.40,     9237.85,      143444541,         8337.06
05-Apr-2017,     9264.40,     9273.90,     9215.40,     9265.15,      190529461,        11461.96
06-Apr-2017,     9245.80,     9267.95,     9218.85,     9261.95,      191937207,        10332.60
07-Apr-2017,     9223.70,     9250.50,     9188.10,     9198.30,      195918747,        10217.13
10-Apr-2017,     9225.60,     9225.65,     9174.85,     9181.45,      139968750,         8140.08
11-Apr-2017,     9184.55,     9242.70,     9172.85,     9237.00,      206261727,         9385.20
12-Apr-2017,     9242.50,     9246.40,     9161.80,     9203.45,      166755013,         8412.97
13-Apr-2017,     9202.50,     9202.65,     9144.95,     9150.80,      171695600,         8908.17
17-Apr-2017,     9144.75,     9160.00,     9120.25,     9139.30,      132244225,         6473.27
18-Apr-2017,     9163.00,     9217.90,     9095.45,     9105.15,      179569574,         8527.50
19-Apr-2017,     9112.20,     9120.50,     9075.15,     9103.50,      179117382,         8950.27
20-Apr-2017,     9108.10,     9143.90,     9102.65,     9136.40,      175629897,         8843.50
21-Apr-2017,     9179.10,     9183.65,     9088.75,     9119.40,      159981265,         8476.63
24-Apr-2017,     9135.35,     9225.40,     9130.55,     9217.95,      172908048,         9720.75
25-Apr-2017,     9273.05,     9309.20,     9250.35,     9306.60,      173896951,        10426.02
26-Apr-2017,     9336.20,     9367.00,     9301.35,     9351.85,      191395120,        10483.32
27-Apr-2017,     9359.15,     9367.15,     9322.65,     9342.15,      215881711,        12910.38
28-Apr-2017,     9340.95,     9342.65,     9282.25,     9304.05,      167229353,         8673.32
02-May-2017,     9339.85,     9352.55,     9269.90,     9313.80,      166558241,         9110.59
03-May-2017,     9344.70,     9346.30,     9298.40,     9311.95,      156342492,         7975.14
04-May-2017,     9360.95,     9365.65,     9323.25,     9359.90,      277895923,        12379.74
05-May-2017,     9374.55,     9377.10,     9272.00,     9285.30,      239133531,        10466.68
08-May-2017,     9311.45,     9338.70,     9297.95,     9314.05,      179709949,         8300.22
09-May-2017,     9337.35,     9338.95,     9307.70,     9316.85,      136417428,         7504.66
10-May-2017,     9339.65,     9414.75,     9336.00,     9407.30,      157363135,         8619.06
11-May-2017,     9448.60,     9450.65,     9411.30,     9422.40,      176439840,         9289.89
12-May-2017,     9436.65,     9437.75,     9372.55,     9400.90,      159079418,         9813.47
15-May-2017,     9433.55,     9449.25,     9423.10,     9445.40,      145163953,         7790.97
16-May-2017,     9461.00,     9517.20,     9456.35,     9512.25,      171709433,         9209.89
17-May-2017,     9517.60,     9532.60,     9486.10,     9525.75,      211856040,        10726.23
18-May-2017,     9453.20,     9489.10,     9418.10,     9429.45,      199340647,        10782.46
19-May-2017,     9469.90,     9505.75,     9390.75,     9427.90,      259861396,        11544.77
22-May-2017,     9480.25,     9498.65,     9427.90,     9438.25,      202874757,         9432.97
23-May-2017,     9445.05,     9448.05,     9370.00,     9386.15,      231345629,        11553.27
24-May-2017,     9410.90,     9431.90,     9341.65,     9360.55,      218265181,        11045.95
25-May-2017,     9384.05,     9523.30,     9379.20,     9509.75,      298147347,        16964.26
26-May-2017,     9507.75,     9604.90,     9495.40,     9595.10,      225647631,        11204.36
29-May-2017,     9560.05,     9637.75,     9547.70,     9604.90,      242266034,        12484.61
30-May-2017,     9590.65,     9635.30,     9581.20,     9624.55,      199894193,         9765.40
31-May-2017,     9636.55,     9649.60,     9609.25,     9621.25,      427053433,        19605.94
01-Jun-2017,     9603.55,     9634.65,     9589.90,     9616.10,      181533283,         9482.61
02-Jun-2017,     9657.15,     9673.50,     9637.45,     9653.50,      167195027,         8564.30
05-Jun-2017,     9656.30,     9687.20,     9640.70,     9675.10,      131685021,         7192.24
06-Jun-2017,     9704.25,     9709.30,     9630.20,     9637.15,      150379695,         8416.55
07-Jun-2017,     9663.95,     9678.55,     9630.55,     9663.90,      165669924,         8989.36
08-Jun-2017,     9682.40,     9688.70,     9641.50,     9647.25,      160165459,         8822.63
09-Jun-2017,     9638.55,     9676.25,     9608.15,     9668.25,      163897548,         9078.71
12-Jun-2017,     9646.70,     9647.05,     9598.50,     9616.40,      145786938,         7686.89
13-Jun-2017,     9615.55,     9654.15,     9595.40,     9606.90,      133734363,         7056.83
14-Jun-2017,     9621.55,     9627.40,     9580.45,     9618.15,      187378750,        10540.68
15-Jun-2017,     9617.90,     9621.40,     9560.80,     9578.05,      176423424,         9868.08
16-Jun-2017,     9595.45,     9615.85,     9565.50,     9588.05,      219808528,        11920.62
19-Jun-2017,     9626.40,     9673.30,     9614.90,     9657.55,      146146062,         8144.36
20-Jun-2017,     9670.50,     9676.50,     9643.75,     9653.50,      164437226,         8476.67
21-Jun-2017,     9648.10,     9650.45,     9608.60,     9633.60,      148490556,         8023.40
22-Jun-2017,     9642.65,     9698.85,     9617.75,     9630.00,      204888654,        10738.45
23-Jun-2017,     9643.25,     9647.65,     9565.30,     9574.95,      180580579,         9092.74
27-Jun-2017,     9594.05,     9615.40,     9473.45,     9511.40,      209593904,        11084.51
28-Jun-2017,     9520.20,     9522.50,     9474.35,     9491.25,      177652206,         9103.73
29-Jun-2017,     9522.95,     9575.80,     9493.80,     9504.10,      267283587,        13395.85
30-Jun-2017,     9478.50,     9535.80,     9448.75,     9520.90,      185202600,         8783.59
03-Jul-2017,     9587.95,     9624.00,     9543.55,     9615.00,      188690599,         8720.76
